meter,date,time,kw
82445252,2024-08-18,09:00:00.000,1.048
82445252,2024-08-18,09:15:00.000,0.852
82445252,2024-08-18,09:30:00.000,0.688
82445252,2024-08-18,09:45:00.000,1.156
82445252,2024-08-18,10:00:00.000,1.136
82445252,2024-08-18,10:15:00.000,0.868
82445252,2024-08-18,10:30:00.000,0.86
82445252,2024-08-18,10:45:00.000,1.036
82445252,2024-08-18,11:00:00.000,1.136
82445252,2024-08-18,11:15:00.000,0.74
82445252,2024-08-18,11:30:00.000,1.456
82445252,2024-08-18,11:45:00.000,1.364
82445252,2024-08-18,12:00:00.000,1.572
82445252,2024-08-18,12:15:00.000,1.564
82445252,2024-08-18,12:30:00.000,1.82
82445252,2024-08-18,12:45:00.000,1.904
82445252,2024-08-18,13:00:00.000,2.016
82445252,2024-08-18,13:15:00.000,2.076
82445252,2024-08-18,13:30:00.000,1.912
82445252,2024-08-18,13:45:00.000,2.064
82445252,2024-08-18,14:00:00.000,1.98
82445252,2024-08-18,14:15:00.000,2.108
82445252,2024-08-18,14:30:00.000,2.148
82445252,2024-08-18,14:45:00.000,2.148
82445252,2024-08-18,15:00:00.000,2.172
82445252,2024-08-18,15:15:00.000,1.988
82445252,2024-08-18,15:30:00.000,2.288
82445252,2024-08-18,15:45:00.000,1.98
82445252,2024-08-18,16:00:00.000,1.732
82445252,2024-08-18,16:15:00.000,1.768
82445252,2024-08-18,16:30:00.000,1.848
82445252,2024-08-18,16:45:00.000,1.78
82445252,2024-08-18,17:00:00.000,1.808
82445252,2024-08-18,17:15:00.000,1.812
82445252,2024-08-18,17:30:00.000,1.876
82445252,2024-08-18,17:45:00.000,1.836
82445252,2024-08-18,18:00:00.000,1.732
82445252,2024-08-18,18:15:00.000,1.684
82445252,2024-08-18,18:30:00.000,1.736
82445252,2024-08-18,18:45:00.000,1.892
82445252,2024-08-18,19:00:00.000,2.088
82445252,2024-08-18,19:15:00.000,1.86
82445252,2024-08-18,19:30:00.000,1.376
82445252,2024-08-18,19:45:00.000,1.412
82445252,2024-08-18,20:00:00.000,1.54
82445252,2024-08-18,20:15:00.000,1.256
82445252,2024-08-18,20:30:00.000,1.264
82445252,2024-08-18,20:45:00.000,1.472
82445252,2024-08-18,21:00:00.000,1.432
82445252,2024-08-18,21:15:00.000,1.356
82445252,2024-08-18,21:30:00.000,1.352
82445252,2024-08-18,21:45:00.000,1.2
82445252,2024-08-18,22:00:00.000,1.336
82445252,2024-08-18,22:15:00.000,1.572
82445252,2024-08-18,22:30:00.000,1.364
82445252,2024-08-18,22:45:00.000,1.48
82445252,2024-08-18,23:00:00.000,0.764
82445252,2024-08-18,23:15:00.000,1.636
82445252,2024-08-18,23:30:00.000,1.156
82445252,2024-08-18,23:45:00.000,0.896
82445252,2024-08-19,00:00:00.000,0.584
82445252,2024-08-19,00:15:00.000,0.996
82445252,2024-08-19,00:30:00.000,1.04
82445252,2024-08-19,00:45:00.000,0.936
82445252,2024-08-19,01:00:00.000,0.6
